filename,label
00001_test.png,cat
00002_test.png,truck
00003_test.png,horse
00004_test.png,airplane
00005_test.png,truck
00006_test.png,ship
00007_test.png,airplane
00008_test.png,horse
00009_test.png,airplane
00010_test.png,airplane
00011_test.png,truck
00012_test.png,cat
00013_test.png,truck
00014_test.png,airplane
00015_test.png,horse
00016_test.png,cat
00017_test.png,truck
00018_test.png,dog
00019_test.png,horse
00020_test.png,frog
00021_test.png,airplane
00022_test.png,frog
00023_test.png,truck
00024_test.png,truck
00025_test.png,airplane
00026_test.png,horse
00027_test.png,ship
00028_test.png,bird
00029_test.png,airplane
00030_test.png,automobile
00031_test.png,dog
00032_test.png,truck
00033_test.png,horse
00034_test.png,ship
00035_test.png,automobile
00036_test.png,truck
00037_test.png,airplane
00038_test.png,airplane
00039_test.png,frog
00040_test.png,airplane
00041_test.png,truck
00042_test.png,airplane
00043_test.png,horse
00044_test.png,horse
00045_test.png,cat
00046_test.png,truck
00047_test.png,ship
00048_test.png,automobile
00049_test.png,airplane
00050_test.png,ship
00051_test.png,airplane
00052_test.png,truck
00053_test.png,ship
00054_test.png,airplane
00055_test.png,automobile
00056_test.png,bird
00057_test.png,bird
00058_test.png,truck
00059_test.png,truck
00060_test.png,ship
00061_test.png,truck
00062_test.png,airplane
00063_test.png,horse
00064_test.png,automobile
00065_test.png,horse
00066_test.png,frog
00067_test.png,horse
00068_test.png,airplane
00069_test.png,airplane
00070_test.png,frog
00071_test.png,automobile
00072_test.png,horse
00073_test.png,truck
00074_test.png,ship
00075_test.png,horse
00076_test.png,dog
00077_test.png,cat
00078_test.png,automobile
00079_test.png,truck
00080_test.png,dog
00081_test.png,dog
00082_test.png,ship
00083_test.png,ship
00084_test.png,truck
00085_test.png,truck
00086_test.png,horse
00087_test.png,dog
00088_test.png,dog
00089_test.png,horse
00090_test.png,truck
00091_test.png,horse
00092_test.png,dog
00093_test.png,bird
00094_test.png,ship
00095_test.png,horse
00096_test.png,horse
00097_test.png,airplane
00098_test.png,automobile
00099_test.png,cat
00100_test.png,truck
00101_test.png,truck
00102_test.png,horse
00103_test.png,ship
00104_test.png,airplane
00105_test.png,horse
00106_test.png,cat
00107_test.png,ship
00108_test.png,cat
00109_test.png,cat
00110_test.png,horse
00111_test.png,horse
00112_test.png,frog
00113_test.png,horse
00114_test.png,automobile
00115_test.png,horse
00116_test.png,truck
00117_test.png,cat
00118_test.png,truck
00119_test.png,automobile
00120_test.png,ship
00121_test.png,airplane
00122_test.png,truck
00123_test.png,truck
00124_test.png,truck
00125_test.png,ship
00126_test.png,horse
00127_test.png,frog
00128_test.png,ship
00129_test.png,dog
00130_test.png,ship
00131_test.png,truck
00132_test.png,airplane
00133_test.png,horse
00134_test.png,airplane
00135_test.png,cat
00136_test.png,ship
00137_test.png,airplane
00138_test.png,ship
00139_test.png,truck
00140_test.png,dog
00141_test.png,deer
00142_test.png,automobile
00143_test.png,cat
00144_test.png,automobile
00145_test.png,truck
00146_test.png,ship
00147_test.png,automobile
00148_test.png,frog
00149_test.png,truck
00150_test.png,frog
00151_test.png,dog
00152_test.png,horse
00153_test.png,horse
00154_test.png,horse
00155_test.png,ship
00156_test.png,airplane
00157_test.png,truck
00158_test.png,ship
00159_test.png,horse
00160_test.png,automobile
00161_test.png,dog
00162_test.png,truck
00163_test.png,dog
00164_test.png,dog
00165_test.png,truck
00166_test.png,dog
00167_test.png,airplane
00168_test.png,airplane
00169_test.png,truck
00170_test.png,automobile
00171_test.png,automobile
00172_test.png,frog
00173_test.png,airplane
00174_test.png,frog
00175_test.png,truck
00176_test.png,horse
00177_test.png,horse
00178_test.png,airplane
00179_test.png,horse
00180_test.png,truck
00181_test.png,dog
00182_test.png,horse
00183_test.png,airplane
00184_test.png,dog
00185_test.png,automobile
00186_test.png,truck
00187_test.png,automobile
00188_test.png,dog
00189_test.png,horse
00190_test.png,airplane
00191_test.png,airplane
00192_test.png,dog
00193_test.png,truck
00194_test.png,horse
00195_test.png,dog
00196_test.png,ship
00197_test.png,airplane
00198_test.png,cat
00199_test.png,horse
00200_test.png,horse
00201_test.png,dog
00202_test.png,truck
00203_test.png,deer
00204_test.png,truck
00205_test.png,horse
00206_test.png,ship
00207_test.png,truck
00208_test.png,automobile
00209_test.png,frog
00210_test.png,horse
00211_test.png,frog
00212_test.png,truck
00213_test.png,airplane
00214_test.png,horse
00215_test.png,truck
00216_test.png,airplane
00217_test.png,automobile
00218_test.png,frog
00219_test.png,truck
00220_test.png,horse
00221_test.png,horse
00222_test.png,airplane
00223_test.png,ship
00224_test.png,truck
00225_test.png,frog
00226_test.png,truck
00227_test.png,dog
00228_test.png,horse
00229_test.png,frog
00230_test.png,ship
00231_test.png,ship
00232_test.png,automobile
00233_test.png,ship
00234_test.png,frog
00235_test.png,frog
00236_test.png,truck
00237_test.png,horse
00238_test.png,dog
00239_test.png,ship
00240_test.png,ship
00241_test.png,horse
00242_test.png,frog
00243_test.png,horse
00244_test.png,airplane
00245_test.png,horse
00246_test.png,ship
00247_test.png,ship
00248_test.png,airplane
00249_test.png,airplane
00250_test.png,bird
00251_test.png,ship
00252_test.png,airplane
00253_test.png,automobile
00254_test.png,automobile
00255_test.png,airplane
00256_test.png,dog
00257_test.png,truck
00258_test.png,airplane
00259_test.png,horse
00260_test.png,automobile
00261_test.png,truck
00262_test.png,airplane
00263_test.png,airplane
00264_test.png,cat
00265_test.png,truck
00266_test.png,ship
00267_test.png,automobile
00268_test.png,horse
00269_test.png,horse
00270_test.png,airplane
00271_test.png,automobile
00272_test.png,horse
00273_test.png,dog
00274_test.png,horse
00275_test.png,airplane
00276_test.png,automobile
00277_test.png,airplane
00278_test.png,airplane
00279_test.png,frog
00280_test.png,dog
00281_test.png,airplane
00282_test.png,frog
00283_test.png,horse
00284_test.png,truck
00285_test.png,horse
00286_test.png,dog
00287_test.png,ship
00288_test.png,automobile
00289_test.png,truck
00290_test.png,dog
00291_test.png,horse
00292_test.png,ship
00293_test.png,truck
00294_test.png,truck
00295_test.png,horse
00296_test.png,ship
00297_test.png,airplane
00298_test.png,ship
00299_test.png,dog
00300_test.png,airplane
00301_test.png,ship
00302_test.png,truck
00303_test.png,automobile
00304_test.png,ship
00305_test.png,automobile
00306_test.png,truck
00307_test.png,ship
00308_test.png,airplane
00309_test.png,truck
00310_test.png,airplane
00311_test.png,dog
00312_test.png,truck
00313_test.png,ship
00314_test.png,dog
00315_test.png,truck
00316_test.png,ship
00317_test.png,airplane
00318_test.png,airplane
00319_test.png,ship
00320_test.png,truck
00321_test.png,airplane
00322_test.png,horse
00323_test.png,airplane
00324_test.png,airplane
00325_test.png,truck
00326_test.png,airplane
00327_test.png,automobile
00328_test.png,ship
00329_test.png,horse
00330_test.png,truck
00331_test.png,dog
00332_test.png,frog
00333_test.png,airplane
00334_test.png,airplane
00335_test.png,automobile
00336_test.png,airplane
00337_test.png,horse
00338_test.png,dog
00339_test.png,ship
00340_test.png,dog
00341_test.png,truck
00342_test.png,automobile
00343_test.png,automobile
00344_test.png,truck
00345_test.png,automobile
00346_test.png,deer
00347_test.png,airplane
00348_test.png,horse
00349_test.png,horse
00350_test.png,airplane
00351_test.png,dog
00352_test.png,truck
00353_test.png,airplane
00354_test.png,automobile
00355_test.png,truck
00356_test.png,horse
00357_test.png,horse
00358_test.png,cat
00359_test.png,airplane
00360_test.png,automobile
00361_test.png,ship
00362_test.png,automobile
00363_test.png,horse
00364_test.png,cat
00365_test.png,truck
00366_test.png,airplane
00367_test.png,frog
00368_test.png,truck
00369_test.png,truck
00370_test.png,automobile
00371_test.png,deer
00372_test.png,airplane
00373_test.png,airplane
00374_test.png,frog
